# 3-Component Decay Chain Output
# Input parameters:
#   Half-life A (h): 1.97
#   Half-life B (h): 9.91
#   Na0: 100.0  Nb0: 0.0  Nc0: 0.0
#   tfinal (h): 50.0
#
# t(h)    NA        NB        NC        Total
2.4800   41.786729   52.780372   5.432898   100.000000
2.4900   41.639961   52.890186   5.469854   100.000000
2.5000   41.493707   52.999407   5.506885   100.000000
2.5100   41.347968   53.108039   5.543994   100.000000
2.5200   41.202740   53.216083   5.581177   100.000000
2.5300   41.058022   53.323541   5.618437   100.000000
2.5400   40.913813   53.430416   5.655771   100.000000
2.5500   40.770110   53.536711   5.693179   100.000000
2.5600   40.626912   53.642426   5.730662   100.000000
2.5700   40.484217   53.747564   5.768219   100.000000
2.5800   40.342023   53.852128   5.805849   100.000000
2.5900   40.200328   53.956120   5.843552   100.000000
2.6000   40.059131   54.059542   5.881327   100.000000
2.6100   39.918431   54.162395   5.919174   100.000000
2.6200   39.778224   54.264683   5.957094   100.000000
2.6300   39.638509   54.366406   5.995084   100.000000
2.6400   39.499286   54.467568   6.033146   100.000000
2.6500   39.360551   54.568171   6.071278   100.000000
2.6600   39.222304   54.668216   6.109480   100.000000
2.6700   39.084542   54.767705   6.147752   100.000000
2.6800   38.947265   54.866642   6.186094   100.000000
2.6900   38.810469   54.965027   6.224504   100.000000
2.7000   38.674154   55.062863   6.262983   100.000000
2.7100   38.538317   55.160152   6.301531   100.000000
2.7200   38.402958   55.256896   6.340146   100.000000
2.7300   38.268074   55.353097   6.378829   100.000000
2.7400   38.133664   55.448758   6.417578   100.000000
2.7500   37.999726   55.543879   6.456395   100.000000
2.7600   37.866258   55.638464   6.495278   100.000000
2.7700   37.733259   55.732514   6.534227   100.000000
2.7800   37.600728   55.826031   6.573241   100.000000
2.7900   37.468661   55.919018   6.612321   100.000000
2.8000   37.337059   56.011476   6.651465   100.000000
2.8100   37.205919   56.103407   6.690674   100.000000
2.8200   37.075240   56.194813   6.729947   100.000000
2.8300   36.945019   56.285697   6.769284   100.000000
2.8400   36.815256   56.376060   6.808684   100.000000
2.8500   36.685949   56.465904   6.848147   100.000000
2.8600   36.557095   56.555231   6.887673   100.000000
2.8700   36.428695   56.644044   6.927262   100.000000
2.8800   36.300745   56.732343   6.966912   100.000000
2.8900   36.173245   56.820132   7.006623   100.000000
2.9000   36.046192   56.907411   7.046396   100.000000
2.9100   35.919586   56.994183   7.086230   100.000000
2.9200   35.793425   57.080451   7.126125   100.000000
2.9300   35.667706   57.166214   7.166079   100.000000
2.9400   35.542430   57.251477   7.206093   100.000000
2.9500   35.417593   57.336240   7.246167   100.000000
2.9600   35.293195   57.420505   7.286300   100.000000
2.9700   35.169233   57.504275   7.326492   100.000000
2.9800   35.045707   57.587551   7.366742   100.000000
2.9900   34.922615   57.670335   7.407050   100.000000
3.0000   34.799955   57.752629   7.447416   100.000000
3.0100   34.677726   57.834435   7.487839   100.000000
3.0200   34.555927   57.915754   7.528319   100.000000
3.0300   34.434555   57.996589   7.568856   100.000000
3.0400   34.313609   58.076941   7.609450   100.000000
3.0500   34.193089   58.156812   7.650099   100.000000
3.0600   34.072991   58.236205   7.690804   100.000000
3.0700   33.953316   58.315120   7.731565   100.000000
3.0800   33.834060   58.393559   7.772380   100.000000
3.0900   33.715224   58.471526   7.813250   100.000000
3.1000   33.596805   58.549020   7.854175   100.000000
3.1100   33.478802   58.626045   7.895154   100.000000
3.1200   33.361213   58.702601   7.936186   100.000000
3.1300   33.244037   58.778691   7.977272   100.000000
3.1400   33.127273   58.854316   8.018410   100.000000
3.1500   33.010919   58.929479   8.059602   100.000000
3.1600   32.894974   59.004180   8.100846   100.000000
3.1700   32.779436   59.078422   8.142142   100.000000
3.1800   32.664304   59.152206   8.183490   100.000000
3.1900   32.549576   59.225535   8.224889   100.000000
3.2000   32.435251   59.298410   8.266339   100.000000
3.2100   32.321328   59.370832   8.307840   100.000000
3.2200   32.207805   59.442803   8.349392   100.000000
